num_links,num_special_chars,contains_offer,contains_free,email_length,spam
4,4,0,0,222,1
1,1,0,0,333,0
3,2,0,1,293,1
3,4,0,0,260,0
1,2,0,0,203,0
2,3,1,1,330,1
1,5,1,1,343,1
1,2,1,0,367,0
2,2,0,0,358,0
2,2,0,0,261,0
1,2,0,0,364,0
0,4,1,0,369,0
4,2,1,0,287,0
2,2,1,0,301,0
1,3,0,1,253,0
3,2,0,1,374,0
2,2,0,0,224,0
6,2,0,1,326,1
1,5,0,1,270,1
1,4,1,0,244,1
2,4,0,0,206,0
2,4,0,0,289,0
1,4,0,0,236,0
3,4,1,0,302,0
4,0,0,0,388,0
1,1,0,0,309,0
3,4,1,0,399,1
1,1,0,1,250,0
4,4,0,0,235,0
4,1,0,0,248,0
2,2,0,0,296,0
0,2,1,0,436,0
0,1,1,1,216,1
2,4,0,0,330,1
2,7,0,0,265,0
2,3,0,1,288,1
1,4,0,0,237,0
5,5,0,0,343,1
4,3,0,0,297,0
0,2,0,1,354,0
1,3,1,0,308,1
2,2,0,0,203,0
2,2,0,0,354,0
0,4,0,0,199,0
2,1,1,1,206,0
2,5,0,0,254,1
3,2,0,0,254,0
1,3,0,0,369,0
0,6,1,1,291,1
2,3,0,0,362,0
2,3,1,1,271,1
1,7,1,1,315,1
3,3,1,0,323,1
2,1,0,0,334,0
3,0,0,0,276,0
2,3,0,1,281,1
0,1,1,0,285,0
2,2,0,0,217,0
1,1,0,1,295,0
1,3,0,0,280,0
3,1,0,0,329,0
1,2,0,0,304,0
4,4,0,0,366,0
2,3,0,1,303,0
0,4,1,0,271,0
4,2,0,0,302,0
5,2,0,1,336,1
2,3,0,0,211,0
0,1,0,1,264,0
0,2,1,1,265,0
1,4,0,0,320,0
1,6,0,0,326,1
2,4,0,0,305,1
2,1,1,0,176,0
5,4,0,0,217,0
1,4,1,0,288,1
2,1,0,0,274,0
4,5,0,1,300,1
1,2,0,0,276,0
2,1,1,0,376,0
1,4,0,0,185,0
4,3,1,1,315,1
5,3,0,0,341,1
2,6,0,1,335,1
1,4,0,0,339,0
3,9,1,0,346,1
2,3,0,0,269,0
5,2,1,0,244,1
5,3,1,0,198,1
5,2,1,0,281,1
1,5,0,0,261,0
0,4,0,1,358,1
1,3,1,0,285,0
2,5,0,1,248,1
1,3,0,0,240,0
0,1,0,0,399,0
2,3,0,0,298,0
2,7,0,0,260,1
1,3,0,0,306,0
0,2,0,0,394,0
3,5,0,0,280,0
3,2,0,0,334,0
1,4,0,0,359,1
0,1,0,1,205,0
0,3,0,0,268,0
4,8,0,0,353,1
1,3,0,0,265,0
3,5,0,0,320,1
4,6,1,0,262,1
1,5,0,0,277,1
1,4,1,0,271,0
0,3,0,0,331,0
0,4,0,0,310,0
0,0,0,0,304,0
3,8,0,0,425,1
2,2,0,1,386,0
2,4,0,0,200,1
1,0,0,0,277,0
2,1,0,1,421,0
2,7,0,1,271,1
0,4,1,0,404,0
1,5,0,0,278,0
3,1,0,1,288,1
4,5,0,0,343,0
3,1,0,1,295,1
0,2,1,0,324,0
0,1,0,0,378,0
0,4,0,0,337,0
1,3,1,0,307,0
2,1,0,1,383,0
